0,1,2,3,4,5,6,7,8,9,10,11
2026/02/21,00:10,0.0,-,64348,,0.0,,0.0,,35.0,
2026/02/21,00:20,0.0,-,64348,,0.0,,0.0,,35.0,
2026/02/21,00:30,0.0,-,64348,,0.0,,0.0,,35.0,
2026/02/21,00:40,0.0,-,64348,,0.0,,0.0,,35.0,
2026/02/21,00:50,0.0,-,64348,,0.0,,0.0,,35.0,
2026/02/21,01:00,0.0,-,64348,,0.0,,14.61,,35.0,
2026/02/21,01:10,0.0,-,64348,,0.0,,17.99,,35.0,
2026/02/21,01:20,0.0,-,64348,,0.0,,18.07,,35.0,
2026/02/21,01:30,0.0,-,64348,,0.0,,17.98,,35.0,
2026/02/21,01:40,0.0,-,64348,,0.0,,17.96,,35.0,
2026/02/21,01:50,0.0,-,64348,,0.0,,18.08,,35.0,
2026/02/21,02:00,0.0,-,64323,,1.96,,18.2,,35.0,
2026/02/21,02:10,0.0,-,64323,,1.96,,18.03,,35.0,
2026/02/21,02:20,0.0,-,64298,,2.6,,17.98,,35.0,
2026/02/21,02:30,0.0,-,64298,,2.6,,17.9,,35.0,
2026/02/21,02:40,0.0,-,64298,,2.6,,17.85,,35.0,
2026/02/21,02:50,0.0,-,64273,,1.37,,18.09,,35.0,
2026/02/21,03:00,0.0,-,64273,,1.37,,17.92,,35.0,
2026/02/21,03:10,0.0,-,64248,,0.0,,17.97,,35.0,
2026/02/21,03:20,0.0,-,64248,,0.0,,18.02,,35.0,
2026/02/21,03:30,0.0,-,64248,,0.0,,17.98,,35.0,
2026/02/21,03:40,0.0,-,64223,,1.34,,18.09,,35.0,
2026/02/21,03:50,0.0,-,64223,,1.34,,18.04,,35.0,
2026/02/21,04:00,0.0,-,64198,,0.0,,18.04,,35.0,
2026/02/21,04:10,0.0,-,64198,,0.0,,17.99,,35.0,
2026/02/21,04:20,0.0,-,64198,,0.0,,17.92,,35.0,
2026/02/21,04:30,0.0,-,64174,,4.15,,17.88,,35.0,
2026/02/21,04:40,0.0,-,64149,,0.0,,18.0,,35.0,
2026/02/21,04:50,0.0,-,64149,,0.0,,17.93,,35.0,
2026/02/21,05:00,0.0,-,64149,,0.0,,17.93,,35.0,
2026/02/21,05:10,0.0,-,64149,,0.0,,0.0,,35.0,
2026/02/21,05:20,0.0,-,64124,,0.0,,0.0,,35.0,
2026/02/21,05:30,0.0,-,64124,,0.0,,0.0,,35.0,
2026/02/21,05:40,0.0,-,64124,,0.0,,0.0,,35.0,
2026/02/21,05:50,0.0,-,64124,,0.0,,0.0,,35.0,
2026/02/21,06:00,0.0,-,64124,,0.0,,0.0,,35.0,
2026/02/21,06:10,0.0,-,64124,,0.0,,0.0,,35.0,
2026/02/21,06:20,0.0,-,64124,,0.0,,0.0,,35.0,
2026/02/21,06:30,0.0,-,64124,,0.0,,0.0,,35.0,
2026/02/21,06:40,0.0,-,64124,,0.0,,0.0,,35.0,
2026/02/21,06:50,0.0,-,64124,,0.0,,0.0,,35.0,
2026/02/21,07:00,0.0,-,64124,,0.0,,0.0,,35.0,
2026/02/21,07:10,0.0,-,64124,,0.0,,0.0,,35.0,
2026/02/21,07:20,0.0,-,64124,,0.0,,0.0,,35.0,
2026/02/21,07:30,0.0,-,64124,,0.0,,0.0,,35.0,
2026/02/21,07:40,0.0,-,64124,,0.0,,0.0,,35.0,
2026/02/21,07:50,0.0,-,64124,,0.0,,0.0,,35.0,
2026/02/21,08:00,0.0,-,64124,,0.0,,0.0,,35.0,
2026/02/21,08:10,0.0,-,64124,,0.0,,0.0,,35.0,
